Name,Colors,Year,Genre,Style,Link
The Goat Herd,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1862,sketch and study,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/the-goat-herd-1862.jpg!Large.jpg
Dog,"('Black Shadows', 'Gray', 'Snow', 'Gray', 'Gray')",1862,animal painting,Post-Impressionism,https://uploads3.wikiart.org/images/vincent-van-gogh/dog(1).jpg!Large.jpg
Milk Jug,"('Gray', 'Gray', 'Seashell', 'Gray', 'Snow')",1862,still life,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/milk-jug.jpg!Large.jpg
Barn and Farmhouse,"('Ivory', 'Gray', 'Gray', 'Gray', 'Gray')",1864,landscape,Post-Impressionism,https://uploads0.wikiart.org/images/vincent-van-gogh/barn-and-farmhouse(1).jpg!Large.jpg
Two Sketches of a Man Leaning on His Spade,"('Honeydew', 'Black Olive', 'Ebony', 'Gray', 'Gray')",1867,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/two-sketches-of-a-man-leaning-on-his-spade-1867.jpg!Large.jpg
Old Woman Asleep after Rops,"('Tan', 'Metallic Sunburst', 'Tan', 'Gray', 'Van Dyke')",1873,genre painting,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/old-woman-asleep-after-rops-1873.jpg!Large.jpg
"Vincent's Boarding House in Hackford Road, Brixton, London","('Lemon Chiffon', 'Van Dyke', 'Grullo', 'Dutch White', 'Gray')",1873,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/vincent-s-boarding-house-in-hackford-road-brixton-london.jpg!Large.jpg
Driveway,"('Burlywood', 'Fawn', 'Caput Mortuum', 'Chamoisee', 'Smoky Black')",1873,landscape,Post-Impressionism,https://uploads8.wikiart.org/images/vincent-van-gogh/driveway(1).jpg!Large.jpg
Canal,"('Light Yellow', 'Lemon Chiffon', 'Camel', 'Bistre', 'Coffee')",1873,landscape,Post-Impressionism,https://uploads5.wikiart.org/images/vincent-van-gogh/canal(1).jpg!Large.jpg
"Austin Friars Church, London","('Gray', 'Isabelline', 'Gray', 'Gray', 'Gray')",1874,sketch and study,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/austin-friars-church-london(1).jpg!Large.jpg
Town d'Avray: L'Etang au Batelier,"('Taupe', 'Beaver', 'Wheat', 'Bisque', 'Gray')",1875,sketch and study,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/town-d-avray-l-etang-au-batelier-1875.jpg!Large.jpg
Vicarage and Church at Etten,"('Khaki', 'Light Goldenrod', 'Coffee', 'Camel', 'Smoky Black')",1876,sketch and study,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/vicarage-and-church-at-etten-1876.jpg!Large.jpg
Vicarage at Etten,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1876,sketch and study,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/vicarage-at-etten-1876.jpg!Large.jpg
"View of Royal Road, Ramsgate","('Burlywood', 'Wheat', 'Dark Brown', 'Camel', 'Smoky Black')",1876,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/view-of-royal-road-ramsgate-1876.jpg!Large.jpg
"View of Royal Road, Ramsgate","('Burlywood', 'French Beige', 'Burlywood', 'Coffee', 'Dark Sienna')",1876,sketch and study,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/view-of-royal-road-ramsgate-1876-1.jpg!Large.jpg
Churches at Petersham and Turnham Green,"('Grullo', 'Light Yellow', 'Ivory', 'Van Dyke', 'Gray')",1876,sketch and study,Post-Impressionism,https://uploads3.wikiart.org/images/vincent-van-gogh/churches-at-petersham-and-turnham-green(1).jpg!Large.jpg
